"production_order_id","production_date","finished_product","material_id","quantity_consumed"
"PRD-018","2025-03-09","Premium White Paint 4L","MAT006","300"
"PRD-018","2025-03-09","Premium White Paint 4L","MAT013","200"
"PRD-018","2025-03-09","Premium White Paint 4L","MAT017","200"
"PRD-019","2025-03-09","Protective Roof Paint","MAT001","750"
"PRD-019","2025-03-09","Protective Roof Paint","MAT007","500"
"PRD-019","2025-03-09","Protective Roof Paint","MAT013","400"
"PRD-019","2025-03-09","Protective Roof Paint","MAT020","500"
"PRD-020","2025-03-09","Wood Stain Brown","MAT002","100"
"PRD-020","2025-03-09","Wood Stain Brown","MAT007","140"
"PRD-020","2025-03-09","Wood Stain Brown","MAT012","80"
"PRD-020","2025-03-09","Wood Stain Brown","MAT016","180"
"PRD-021","2025-04-16","Anti-Rust Coating","MAT002","320"
"PRD-021","2025-04-16","Anti-Rust Coating","MAT008","400"
"PRD-021","2025-04-16","Anti-Rust Coating","MAT011","200"
"PRD-021","2025-04-16","Anti-Rust Coating","MAT018","200"
"PRD-022","2025-04-16","Clear Varnish","MAT006","270"
"PRD-022","2025-04-16","Clear Varnish","MAT013","180"
"PRD-022","2025-04-16","Clear Varnish","MAT015","90"
"PRD-022","2025-04-16","Clear Varnish","MAT016","240"
"PRD-023","2025-04-16","Epoxy Floor Coating","MAT008","360"
"PRD-023","2025-04-16","Epoxy Floor Coating","MAT003","120"
"PRD-023","2025-04-16","Epoxy Floor Coating","MAT011","180"
"PRD-023","2025-04-16","Epoxy Floor Coating","MAT018","180"
"PRD-024","2025-04-16","Industrial Grey Primer","MAT003","300"
"PRD-024","2025-04-16","Industrial Grey Primer","MAT006","400"
"PRD-024","2025-04-16","Industrial Grey Primer","MAT011","250"
"PRD-024","2025-04-16","Industrial Grey Primer","MAT017","400"
"PRD-025","2025-04-16","Marine Blue Coating","MAT004","240"
"PRD-025","2025-04-16","Marine Blue Coating","MAT008","400"
"PRD-025","2025-04-16","Marine Blue Coating","MAT011","220"
"PRD-025","2025-04-16","Marine Blue Coating","MAT018","220"
"PRD-026","2025-04-16","Premium White Paint 1L","MAT001","240"
"PRD-026","2025-04-16","Premium White Paint 1L","MAT006","180"
"PRD-026","2025-04-16","Premium White Paint 1L","MAT013","120"
"PRD-026","2025-04-16","Premium White Paint 1L","MAT016","300"
"PRD-027","2025-04-16","Protective Roof Paint","MAT001","750"
"PRD-027","2025-04-16","Protective Roof Paint","MAT007","500"
"PRD-027","2025-04-16","Protective Roof Paint","MAT013","400"
"PRD-027","2025-04-16","Protective Roof Paint","MAT020","500"
"PRD-028","2025-04-16","Wood Stain Brown","MAT002","150"
"PRD-028","2025-04-16","Wood Stain Brown","MAT007","210"
"PRD-028","2025-04-16","Wood Stain Brown","MAT012","120"
"PRD-028","2025-04-16","Wood Stain Brown","MAT016","270"
"PRD-029","2025-05-21","Anti-Rust Coating","MAT002","240"
"PRD-029","2025-05-21","Anti-Rust Coating","MAT008","300"
"PRD-029","2025-05-21","Anti-Rust Coating","MAT011","150"
"PRD-029","2025-05-21","Anti-Rust Coating","MAT018","150"
"PRD-030","2025-05-21","Automotive Red Paint","MAT002","280"
"PRD-030","2025-05-21","Automotive Red Paint","MAT007","320"
"PRD-030","2025-05-21","Automotive Red Paint","MAT011","180"
"PRD-030","2025-05-21","Automotive Red Paint","MAT016","360"
"PRD-031","2025-05-21","Clear Varnish","MAT006","270"
"PRD-031","2025-05-21","Clear Varnish","MAT013","180"
"PRD-031","2025-05-21","Clear Varnish","MAT015","90"
"PRD-031","2025-05-21","Clear Varnish","MAT016","240"
"PRD-032","2025-05-21","Premium White Paint 1L","MAT001","400"
"PRD-032","2025-05-21","Premium White Paint 1L","MAT006","300"
"PRD-032","2025-05-21","Premium White Paint 1L","MAT013","200"
"PRD-032","2025-05-21","Premium White Paint 1L","MAT016","500"
"PRD-033","2025-05-21","Premium White Paint 4L","MAT001","600"
"PRD-033","2025-05-21","Premium White Paint 4L","MAT006","450"
"PRD-033","2025-05-21","Premium White Paint 4L","MAT013","300"
"PRD-033","2025-05-21","Premium White Paint 4L","MAT017","300"
"PRD-034","2025-05-21","Wood Stain Brown","MAT002","100"
"PRD-034","2025-05-21","Wood Stain Brown","MAT007","140"
"PRD-034","2025-05-21","Wood Stain Brown","MAT012","80"
"PRD-034","2025-05-21","Wood Stain Brown","MAT016","180"
"PRD-035","2025-06-18","Clear Varnish","MAT006","360"
"PRD-035","2025-06-18","Clear Varnish","MAT013","240"
"PRD-035","2025-06-18","Clear Varnish","MAT015","120"
"PRD-035","2025-06-18","Clear Varnish","MAT016","320"
"PRD-036","2025-06-18","Industrial Grey Primer","MAT003","120"
"PRD-036","2025-06-18","Industrial Grey Primer","MAT006","160"
"PRD-036","2025-06-18","Industrial Grey Primer","MAT011","100"
"PRD-036","2025-06-18","Industrial Grey Primer","MAT017","160"
"PRD-037","2025-06-18","Marine Blue Coating","MAT004","240"
"PRD-037","2025-06-18","Marine Blue Coating","MAT008","400"
"PRD-037","2025-06-18","Marine Blue Coating","MAT011","220"
"PRD-037","2025-06-18","Marine Blue Coating","MAT018","220"
"PRD-038","2025-06-18","Premium White Paint 1L","MAT001","400"
"PRD-038","2025-06-18","Premium White Paint 1L","MAT006","300"
"PRD-038","2025-06-18","Premium White Paint 1L","MAT013","200"
"PRD-038","2025-06-18","Premium White Paint 1L","MAT016","500"
"PRD-039","2025-06-18","Protective Roof Paint","MAT001","750"
"PRD-039","2025-06-18","Protective Roof Paint","MAT007","500"
"PRD-039","2025-06-18","Protective Roof Paint","MAT013","400"
"PRD-039","2025-06-18","Protective Roof Paint","MAT020","500"
"PRD-040","2025-06-18","Wood Stain Brown","MAT002","200"
"PRD-040","2025-06-18","Wood Stain Brown","MAT007","280"
"PRD-040","2025-06-18","Wood Stain Brown","MAT012","160"
"PRD-040","2025-06-18","Wood Stain Brown","MAT016","360"
"PRD-041","2025-07-18","Anti-Rust Coating","MAT002","400"
"PRD-041","2025-07-18","Anti-Rust Coating","MAT008","500"
"PRD-041","2025-07-18","Anti-Rust Coating","MAT011","250"
"PRD-041","2025-07-18","Anti-Rust Coating","MAT018","250"
"PRD-042","2025-07-18","Clear Varnish","MAT006","360"
"PRD-042","2025-07-18","Clear Varnish","MAT013","240"
"PRD-042","2025-07-18","Clear Varnish","MAT015","120"
"PRD-042","2025-07-18","Clear Varnish","MAT016","320"
"PRD-043","2025-07-18","Epoxy Floor Coating","MAT008","480"
"PRD-043","2025-07-18","Epoxy Floor Coating","MAT003","160"
"PRD-043","2025-07-18","Epoxy Floor Coating","MAT011","240"
"PRD-043","2025-07-18","Epoxy Floor Coating","MAT018","240"
"PRD-044","2025-07-18","Industrial Grey Primer","MAT003","240"
"PRD-044","2025-07-18","Industrial Grey Primer","MAT006","320"
"PRD-044","2025-07-18","Industrial Grey Primer","MAT011","200"
"PRD-044","2025-07-18","Industrial Grey Primer","MAT017","320"
"PRD-045","2025-07-18","Marine Blue Coating","MAT004","300"
"PRD-045","2025-07-18","Marine Blue Coating","MAT008","500"
"PRD-045","2025-07-18","Marine Blue Coating","MAT011","275"
"PRD-045","2025-07-18","Marine Blue Coating","MAT018","275"
"PRD-046","2025-07-18","Premium White Paint 1L","MAT001","160"
"PRD-046","2025-07-18","Premium White Paint 1L","MAT006","120"
"PRD-046","2025-07-18","Premium White Paint 1L","MAT013","80"
"PRD-046","2025-07-18","Premium White Paint 1L","MAT016","200"
"PRD-047","2025-07-18","Premium White Paint 4L","MAT001","400"
"PRD-047","2025-07-18","Premium White Paint 4L","MAT006","300"
"PRD-047","2025-07-18","Premium White Paint 4L","MAT013","200"
"PRD-047","2025-07-18","Premium White Paint 4L","MAT017","200"
"PRD-048","2025-07-18","Protective Roof Paint","MAT001","300"
"PRD-048","2025-07-18","Protective Roof Paint","MAT007","200"
"PRD-048","2025-07-18","Protective Roof Paint","MAT013","160"
"PRD-048","2025-07-18","Protective Roof Paint","MAT020","200"
"PRD-049","2025-07-18","Wood Stain Brown","MAT002","200"
"PRD-049","2025-07-18","Wood Stain Brown","MAT007","280"
"PRD-049","2025-07-18","Wood Stain Brown","MAT012","160"
"PRD-049","2025-07-18","Wood Stain Brown","MAT016","360"
"PRD-050","2025-08-06","Automotive Red Paint","MAT002","350"
"PRD-050","2025-08-06","Automotive Red Paint","MAT007","400"
"PRD-050","2025-08-06","Automotive Red Paint","MAT011","225"
"PRD-050","2025-08-06","Automotive Red Paint","MAT016","450"
"PRD-051","2025-08-06","Clear Varnish","MAT006","360"
"PRD-051","2025-08-06","Clear Varnish","MAT013","240"
"PRD-051","2025-08-06","Clear Varnish","MAT015","120"
"PRD-051","2025-08-06","Clear Varnish","MAT016","320"
"PRD-052","2025-08-06","Epoxy Floor Coating","MAT008","240"
"PRD-052","2025-08-06","Epoxy Floor Coating","MAT003","80"
"PRD-052","2025-08-06","Epoxy Floor Coating","MAT011","120"
"PRD-052","2025-08-06","Epoxy Floor Coating","MAT018","120"
"PRD-053","2025-08-06","Industrial Grey Primer","MAT003","300"
"PRD-053","2025-08-06","Industrial Grey Primer","MAT006","400"
"PRD-053","2025-08-06","Industrial Grey Primer","MAT011","250"
"PRD-053","2025-08-06","Industrial Grey Primer","MAT017","400"
"PRD-054","2025-08-06","Marine Blue Coating","MAT004","300"
"PRD-054","2025-08-06","Marine Blue Coating","MAT008","500"
"PRD-054","2025-08-06","Marine Blue Coating","MAT011","275"
"PRD-054","2025-08-06","Marine Blue Coating","MAT018","275"
"PRD-055","2025-08-06","Premium White Paint 1L","MAT001","240"
"PRD-055","2025-08-06","Premium White Paint 1L","MAT006","180"
"PRD-055","2025-08-06","Premium White Paint 1L","MAT013","120"
"PRD-055","2025-08-06","Premium White Paint 1L","MAT016","300"
"PRD-056","2025-08-06","Premium White Paint 4L","MAT001","1000"
"PRD-056","2025-08-06","Premium White Paint 4L","MAT006","750"
"PRD-056","2025-08-06","Premium White Paint 4L","MAT013","500"
"PRD-056","2025-08-06","Premium White Paint 4L","MAT017","500"
"PRD-057","2025-08-06","Protective Roof Paint","MAT001","300"
"PRD-057","2025-08-06","Protective Roof Paint","MAT007","200"
"PRD-057","2025-08-06","Protective Roof Paint","MAT013","160"
"PRD-057","2025-08-06","Protective Roof Paint","MAT020","200"
"PRD-058","2025-08-06","Wood Stain Brown","MAT002","150"
"PRD-058","2025-08-06","Wood Stain Brown","MAT007","210"
"PRD-058","2025-08-06","Wood Stain Brown","MAT012","120"
"PRD-058","2025-08-06","Wood Stain Brown","MAT016","270"
"PRD-059","2025-09-25","Automotive Red Paint","MAT002","140"
"PRD-059","2025-09-25","Automotive Red Paint","MAT007","160"
"PRD-059","2025-09-25","Automotive Red Paint","MAT011","90"
"PRD-059","2025-09-25","Automotive Red Paint","MAT016","180"
"PRD-060","2025-09-25","Epoxy Floor Coating","MAT008","360"
"PRD-060","2025-09-25","Epoxy Floor Coating","MAT003","120"
"PRD-060","2025-09-25","Epoxy Floor Coating","MAT011","180"
"PRD-060","2025-09-25","Epoxy Floor Coating","MAT018","180"
"PRD-061","2025-09-25","Industrial Grey Primer","MAT003","240"
"PRD-061","2025-09-25","Industrial Grey Primer","MAT006","320"
"PRD-061","2025-09-25","Industrial Grey Primer","MAT011","200"
"PRD-061","2025-09-25","Industrial Grey Primer","MAT017","320"
"PRD-062","2025-09-25","Marine Blue Coating","MAT004","240"
"PRD-062","2025-09-25","Marine Blue Coating","MAT008","400"
"PRD-062","2025-09-25","Marine Blue Coating","MAT011","220"
"PRD-062","2025-09-25","Marine Blue Coating","MAT018","220"
"PRD-063","2025-09-25","Premium White Paint 1L","MAT001","160"
"PRD-063","2025-09-25","Premium White Paint 1L","MAT006","120"
"PRD-063","2025-09-25","Premium White Paint 1L","MAT013","80"
"PRD-063","2025-09-25","Premium White Paint 1L","MAT016","200"
"PRD-064","2025-09-25","Premium White Paint 4L","MAT001","400"
"PRD-064","2025-09-25","Premium White Paint 4L","MAT006","300"
"PRD-064","2025-09-25","Premium White Paint 4L","MAT013","200"
"PRD-064","2025-09-25","Premium White Paint 4L","MAT017","200"
"PRD-065","2025-09-25","Protective Roof Paint","MAT001","750"
"PRD-065","2025-09-25","Protective Roof Paint","MAT007","500"
"PRD-065","2025-09-25","Protective Roof Paint","MAT013","400"
"PRD-065","2025-09-25","Protective Roof Paint","MAT020","500"
"PRD-066","2025-09-25","Wood Stain Brown","MAT002","200"
"PRD-066","2025-09-25","Wood Stain Brown","MAT007","280"
"PRD-066","2025-09-25","Wood Stain Brown","MAT012","160"
"PRD-066","2025-09-25","Wood Stain Brown","MAT016","360"
"PRD-067","2025-10-19","Anti-Rust Coating","MAT002","400"
"PRD-067","2025-10-19","Anti-Rust Coating","MAT008","500"
"PRD-067","2025-10-19","Anti-Rust Coating","MAT011","250"
"PRD-067","2025-10-19","Anti-Rust Coating","MAT018","250"
"PRD-068","2025-10-19","Clear Varnish","MAT006","360"
"PRD-068","2025-10-19","Clear Varnish","MAT013","240"
"PRD-068","2025-10-19","Clear Varnish","MAT015","120"
"PRD-068","2025-10-19","Clear Varnish","MAT016","320"
"PRD-069","2025-10-19","Epoxy Floor Coating","MAT008","480"
"PRD-069","2025-10-19","Epoxy Floor Coating","MAT003","160"
"PRD-069","2025-10-19","Epoxy Floor Coating","MAT011","240"
"PRD-069","2025-10-19","Epoxy Floor Coating","MAT018","240"
"PRD-070","2025-10-19","Industrial Grey Primer","MAT003","300"
"PRD-070","2025-10-19","Industrial Grey Primer","MAT006","400"
"PRD-070","2025-10-19","Industrial Grey Primer","MAT011","250"
"PRD-070","2025-10-19","Industrial Grey Primer","MAT017","400"
"PRD-071","2025-10-19","Marine Blue Coating","MAT004","180"
"PRD-071","2025-10-19","Marine Blue Coating","MAT008","300"
"PRD-071","2025-10-19","Marine Blue Coating","MAT011","165"
"PRD-071","2025-10-19","Marine Blue Coating","MAT018","165"
"PRD-072","2025-10-19","Premium White Paint 1L","MAT001","160"
"PRD-072","2025-10-19","Premium White Paint 1L","MAT006","120"
"PRD-072","2025-10-19","Premium White Paint 1L","MAT013","80"
"PRD-072","2025-10-19","Premium White Paint 1L","MAT016","200"
"PRD-073","2025-10-19","Premium White Paint 4L","MAT001","1000"
"PRD-073","2025-10-19","Premium White Paint 4L","MAT006","750"
"PRD-073","2025-10-19","Premium White Paint 4L","MAT013","500"
"PRD-073","2025-10-19","Premium White Paint 4L","MAT017","500"
"PRD-074","2025-10-19","Wood Stain Brown","MAT002","100"
"PRD-074","2025-10-19","Wood Stain Brown","MAT007","140"
"PRD-074","2025-10-19","Wood Stain Brown","MAT012","80"
"PRD-074","2025-10-19","Wood Stain Brown","MAT016","180"
"PRD-075","2025-11-12","Anti-Rust Coating","MAT002","160"
"PRD-075","2025-11-12","Anti-Rust Coating","MAT008","200"
"PRD-075","2025-11-12","Anti-Rust Coating","MAT011","100"
"PRD-075","2025-11-12","Anti-Rust Coating","MAT018","100"
"PRD-076","2025-11-12","Automotive Red Paint","MAT002","210"
"PRD-076","2025-11-12","Automotive Red Paint","MAT007","240"
"PRD-076","2025-11-12","Automotive Red Paint","MAT011","135"
"PRD-076","2025-11-12","Automotive Red Paint","MAT016","270"
"PRD-077","2025-11-12","Clear Varnish","MAT006","270"
"PRD-077","2025-11-12","Clear Varnish","MAT013","180"
"PRD-077","2025-11-12","Clear Varnish","MAT015","90"
"PRD-077","2025-11-12","Clear Varnish","MAT016","240"
"PRD-078","2025-11-12","Epoxy Floor Coating","MAT008","360"
"PRD-078","2025-11-12","Epoxy Floor Coating","MAT003","120"
"PRD-078","2025-11-12","Epoxy Floor Coating","MAT011","180"
"PRD-078","2025-11-12","Epoxy Floor Coating","MAT018","180"
"PRD-079","2025-11-12","Industrial Grey Primer","MAT003","120"
"PRD-079","2025-11-12","Industrial Grey Primer","MAT006","160"
"PRD-079","2025-11-12","Industrial Grey Primer","MAT011","100"
"PRD-079","2025-11-12","Industrial Grey Primer","MAT017","160"
"PRD-080","2025-11-12","Marine Blue Coating","MAT004","240"
"PRD-080","2025-11-12","Marine Blue Coating","MAT008","400"
"PRD-080","2025-11-12","Marine Blue Coating","MAT011","220"
"PRD-080","2025-11-12","Marine Blue Coating","MAT018","220"
"PRD-081","2025-11-12","Premium White Paint 1L","MAT001","400"
"PRD-081","2025-11-12","Premium White Paint 1L","MAT006","300"
"PRD-081","2025-11-12","Premium White Paint 1L","MAT013","200"
"PRD-081","2025-11-12","Premium White Paint 1L","MAT016","500"
"PRD-082","2025-11-12","Premium White Paint 4L","MAT001","600"
"PRD-082","2025-11-12","Premium White Paint 4L","MAT006","450"
"PRD-082","2025-11-12","Premium White Paint 4L","MAT013","300"
"PRD-082","2025-11-12","Premium White Paint 4L","MAT017","300"
"PRD-083","2025-11-12","Protective Roof Paint","MAT001","600"
"PRD-083","2025-11-12","Protective Roof Paint","MAT007","400"
"PRD-083","2025-11-12","Protective Roof Paint","MAT013","320"
"PRD-083","2025-11-12","Protective Roof Paint","MAT020","400"
"PRD-084","2025-12-05","Protective Roof Paint","MAT001","0"
"PRD-084","2025-12-05","Protective Roof Paint","MAT007","0"
"PRD-084","2025-12-05","Protective Roof Paint","MAT013","0"
"PRD-084","2025-12-05","Protective Roof Paint","MAT020","0"
